cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1372,2,2,10,3.8074667544799383,1545,11,1.804272708628173,1
1461,2,2,10,3.8074667544799383,1557,11,1.804272708628173,1
1371,2,2,10,3.6124962945838073,1566,11,1.804272708628173,1
1261,6,2,10,3.7875718095925786,1566,11,1.804272708628173,1
1305,6,2,10,3.711971019020609,1464,11,0.9431945538974952,1
1337,6,2,10,3.775634842660162,1520,11,0.9431945538974952,1
1300,2,2,10,3.8353196773222433,1563,11,1.804272708628173,1
1354,6,2,10,3.67616011822336,1532,11,0.8884502877862838,1
1222,6,2,10,3.7716558536826894,1476,11,0.9431945538974952,1
1085,6,2,10,3.775634842660162,1581,11,0.8884502877862838,1
